"sugar,water"
"water,flour"
"sugar,flour"
"soda,water"
"rice,soda"
"water,flour"
"soda,rice"
"rice,water"
"sugar,soda"
"sugar,soda"
"flour,sugar"
"rice,soda"
"flour,sugar"
"rice,sugar"
"soda,water"
"soda,sugar"
"water,rice"
"water,rice"
"flour,rice"
"water,soda"
"sugar,flour"
"sugar,flour"
"sugar,flour"
"rice,flour"
"soda,water"
"flour,sugar"
"flour,soda"
"sugar,soda"
"water,flour"
"sugar,water"
"sugar,water"
"flour,soda"
"water,rice"
"soda,rice"
"flour,sugar"
"flour,sugar"
"rice,flour"
"water,flour"
"rice,sugar"
"water,sugar"
"water,flour"
"sugar,water"
"water,sugar"
"sugar,flour"
"sugar,water"
"water,rice"
"soda,water"
"sugar,flour"
"sugar,soda"
"flour,soda"
"soda,rice"
"soda,flour"
"water,soda"
"water,flour"
"rice,flour"
"rice,sugar"
"flour,rice"
"rice,water"
"rice,soda"
"flour,water"
"rice,soda"
"water,soda"
"rice,sugar"
"rice,soda"
"sugar,flour"
"flour,soda"
"sugar,water"
"rice,sugar"
"water,flour"
"rice,flour"
"soda,rice"
"soda,flour"
"soda,rice"
"soda,sugar"
"sugar,rice"
"flour,soda"
"rice,water"
"rice,soda"
"soda,rice"
"water,flour"
"soda,flour"
"water,soda"
"sugar,water"
"flour,soda"
"flour,soda"
"soda,flour"
"flour,sugar"
"rice,flour"
"rice,water"
"water,soda"
"rice,soda"
"rice,soda"
"water,sugar"
"rice,sugar"
"flour,rice"
"flour,water"
"soda,water"
"sugar,soda"
"rice,water"
"soda,flour"
"flour,sugar"
"flour,rice"
"rice,flour"
"soda,flour"
"soda,sugar"
"water,rice"
"rice,sugar"
"sugar,rice"
"rice,water"
"flour,water"
"flour,sugar"
"water,rice"
"soda,sugar"
"sugar,flour"
"soda,rice"
"rice,sugar"
"rice,water"
"water,soda"
"water,soda"
"sugar,soda"
"soda,rice"
"flour,soda"
"soda,water"
"flour,sugar"
"flour,sugar"
"soda,sugar"
"water,rice"
"sugar,water"
"rice,flour"
"soda,flour"
"water,flour"
"rice,water"
"sugar,soda"
"soda,sugar"
"soda,sugar"
"water,sugar"
"water,rice"
"rice,water"
"sugar,soda"
"water,soda"
"flour,soda"
"soda,sugar"
"rice,sugar"
"flour,rice"
"rice,flour"
"flour,rice"
"soda,flour"
"water,flour"
"water,sugar"
"sugar,flour"
"flour,water"
"water,flour"
"soda,flour"
"sugar,water"
"water,flour"
"rice,water"
"sugar,water"
"water,flour"
"water,sugar"
"flour,rice"
"flour,sugar"
"water,flour"
"sugar,flour"
"sugar,rice"
"soda,flour"
"water,sugar"
"water,flour"
"soda,flour"
"soda,water"
"rice,flour"
"water,soda"
"water,soda"
"soda,sugar"
"soda,sugar"
"rice,sugar"
"sugar,rice"
"sugar,rice"
"water,soda"
"rice,soda"
"soda,flour"
"flour,sugar"
"rice,soda"
"sugar,soda"
"soda,rice"
"rice,sugar"
"soda,water"
"flour,rice"
"water,flour"
"flour,sugar"
"sugar,soda"
"rice,water"
"flour,rice"
"water,soda"
"rice,flour"
"rice,flour"
"sugar,flour"
"rice,water"
"soda,water"
"flour,water"
"flour,sugar"
"sugar,flour"
